First Name,Last Name,Email,Phone,Date of Birth
Alice,Johnson,alice.j@example.com,555-1001,1985-03-15
Bob,Smith,bob.smith@example.com,555-1002,1990-07-22
Carol,Williams,carol.w@example.com,555-1003,1978-11-30
Dave,Brown,dave.brown@example.com,555-1004,1995-01-10
Eve,Davis,eve.davis@example.com,555-1005,1988-06-25
Frank,Miller,frank.m@example.com,555-1006,1972-09-08
Grace,Wilson,grace.w@example.com,555-1007,1983-12-14
Henry,Moore,henry.m@example.com,555-1008,2000-04-01
Iris,Taylor,iris.t@example.com,555-1009,1991-08-17
Jack,Anderson,jack.a@example.com,555-1010,1986-02-28
